Number,Type,Common Name,Category,Classification,RA,Dec,R_Flux,Tag,Comments,ID
279,Source,INTREF 1012,X-ray Binary,LMXB,303.157,38.184,,Known Source,,23257
280,Source,KZ TrA,X-ray Binary,LMXB,248.07,-67.461,2.32E-10,Known Source,,22506
281,Source,LMC X-2,X-ray Binary,LMXB,80.117,-71.965,1.66E-10,Known Source,,2139
282,Source,LU TrA,X-ray Binary,LMXB,240.26,-60.738,2.65E-10,Known Source,,22507
283,Source,MAXI J1807+132,X-ray Binary,LMXB,272.042,13.274,1.58E-12,Known Source,,23863
284,Source,MM Ser,X-ray Binary,LMXB,279.99,5.036,2.55E-08,Known Source,,21199
285,Source,Nor X-1,X-ray Binary,LMXB,248.507,-47.393,5.01E-10,Known Source,,22625
286,Source,NP Ser,X-ray Binary,LMXB,274.006,-14.036,2.87E-08,Known Source,,6946
287,Source,QU TrA,X-ray Binary,LMXB,236.978,-62.568,1.03E-09,Known Source,,22508
288,Source,QX Nor,X-ray Binary,LMXB,243.179,-52.423,2.76E-10,Known Source,,22662
289,Source,RX J1749.8-3312,X-ray Binary,LMXB,267.454,-33.203,1.55E-08,Known Source,,22551
290,Source,Sco X-1,X-ray Binary,LMXB,244.979,-15.64,0.000000659,Known Source,,6827
291,Source,Sgr X-3,X-ray Binary,LMXB,270.385,-20.529,2.68E-08,Known Source,,21192
292,Source,Sgr X-4,X-ray Binary,LMXB,275.919,-30.361,4.64E-09,Known Source,,19473
293,Source,Swift J1727.8-1613,X-ray Binary,LMXB,261.942,-16.215,,Known Source,,24117
294,Source,V1055 Ori,X-ray Binary,LMXB,94.281,9.137,2.19E-09,Known Source,,21464
295,Source,V1101 Sco,X-ray Binary,LMXB,256.435,-36.423,3.86E-08,Known Source,,22951
296,Source,V1405 Aql,X-ray Binary,LMXB,289.699,-5.238,5.42E-10,Known Source,,10123
297,Source,V1408 Aql,X-ray Binary,LMXB,299.85,11.708,1.77E-09,Known Source,,23160
298,Source,V2216 Oph,X-ray Binary,LMXB,262.934,-16.961,0.000000011,Known Source,,6894
299,Source,V395 Car,X-ray Binary,LMXB,140.644,-63.295,4.39E-10,Known Source,,22387
300,Source,V4134 Sgr,X-ray Binary,LMXB,269.667,-33.807,4.47E-10,Known Source,,20707
301,Source,V4634 Sgr,X-ray Binary,LMXB,277.368,-23.797,3.48E-09,Known Source,,6880
302,Source,V5512 Sgr,X-ray Binary,LMXB,273.631,-17.157,6.47E-08,Known Source,,22616
303,Source,V691 CrA,X-ray Binary,LMXB,276.445,-37.105,9.98E-10,Known Source,,20771
304,Source,V801 Ara,X-ray Binary,LMXB,250.232,-53.751,9.3E-09,Known Source,,22521
305,Source,V926 Sco,X-ray Binary,LMXB,264.743,-44.45,1.36E-08,Known Source,,22619
306,Source,XTE J1701-462,X-ray Binary,LMXB,255.244,-46.186,5.79E-11,Known Source,,22496
307,Source,XTE J1739-285,X-ray Binary,LMXB,264.975,-28.496,6.81E-10,Known Source,,22641
308,Source,XTE J1810-189,X-ray Binary,LMXB,272.587,-19.07,3.82E-10,Known Source,,22902
309,Source,XTE J1856+053,X-ray Binary,LMXB,284.179,5.31,1.38E-09,Known Source,,23852
310,Source,MAXI J0911-655,X-ray Binary,X-ray Binary,138.01,-64.868,2.57E-10,Known Source,,22395
311,Source,MAXI J1810-222,X-ray Binary,X-ray Binary,273.113,-22.326,,Known Source,,23192
312,Source,RX J0925.7-4758,X-ray Binary,X-ray Binary,141.442,-47.971,0.00000653,Known Source,,22548
313,Source,GRB 230307A,GRB,GRB,60.8593,-75.3788,,Transient,,
314,Source,GRB 221009A,GRB,GRB Afterglow,288.265,19.773,,Transient,,
315,Source,NOVA Sco 2023,Nova,Classical Nova,260.687,-41.621,,Transient,,24167
316,Source,ASASSN-23hd,Nova,Nova,71.718,-65.897,,Transient,,25160
317,Source,LXT 221117A,Unclassified,Unclassified,94.713,26.463,,Transient,,21619
318,Source,LXT 221201A,Unclassified,Unclassified,111.457,-14.243,,Transient,,21783
319,Source,LXT 221207A,Unclassified,Unclassified,79.405,28.589,,Transient,stellar flare?,21899
320,Source,LXT 221223A,Unclassified,Unclassified,26.88,61.526,,Transient,,22026
321,Source,LXT 221227A,Unclassified,Unclassified,147.454,4.6777,,Transient,,22040
322,Source,LXT 230308A,Unclassified,Unclassified,177.176,39.709,,Transient,,22513
323,Source,LXT 230511A,Unclassified,Unclassified,189.282,-69.151,,Transient,stellar flare?,23174
324,Source,LXT 230725A,Unclassified,Unclassified,200.502,-55.011,,Transient,,23974
325,Source,LXT 230815A,Unclassified,Unclassified,249.474,-46.411,,Transient,stellar flare?,24050
326,Source,LXT 240101A,Unclassified,Unclassified,94.775,1.075,,Transient,,26615
327,Source,2FHL J0709.3-1526,AGN,AGN,107.3011,-15.4501,8.41E-12,Known Source,,
328,Source,2MAXI J1837-570,AGN,AGN,279.77654,-57.25161,1.29E-11,Known Source,,
329,Source,4PBC J1709.7-2348,AGN,AGN,257.4362398,-23.78144273,4.41E-12,Known Source,,
330,Source,4PBC J1814.1-1822,AGN,AGN,273.56158,-18.386,1.9E-12,Known Source,,
331,Source,AX J1830.6-1002,AGN,AGN,277.66,-10.046,7.34E-12,Known Source,,
332,Source,IGR J09189-4418,AGN,AGN,139.744,-44.31,1.87E-12,Known Source,,
333,Source,IGR J10200-1436,AGN,AGN,154.90538,-14.69119,1.26E-12,Known Source,,
334,Source,IGR J11079+7106,AGN,AGN,166.9494004,71.0923467,4.05E-12,Known Source,,
335,Source,IGR J14417-5533,AGN,AGN,220.328079,-55.559784,7.8E-12,Known Source,,
336,Source,IGR J15359-5750,AGN,AGN,233.97,-57.8486,0.000000249,Known Source,,
337,Source,IGR J16181-5407,AGN,AGN,244.53214,-54.103394,4.02E-12,Known Source,,
338,Source,IGR J16560-4958,AGN,AGN,253.96646,-49.959,2.97E-12,Known Source,,
339,Source,IGR J17111+3910,AGN,AGN,257.7721373,39.14683,2.83E-12,Known Source,,
340,Source,IGR J17157-5449,AGN,AGN,258.9063902,-54.83504318,7.42E-12,Known Source,,
341,Source,IGR J17348-2045,AGN,AGN,263.745,-20.759,1.39E-12,Known Source,,
342,Source,IGR J17520-6018,AGN,AGN,267.982503,-60.32869,3.73E-12,Known Source,,
343,Source,IGR J18497-0248,AGN,AGN,282.44446,-2.80481,1.63E-12,Known Source,,
344,Source,IGR J19504+3318,AGN,AGN,297.5821935,33.23784524,0.00000636,Known Source,,
345,Source,IGR J20310+3835,AGN,AGN,307.73,38.5631,4.62E-12,Known Source,,
346,Source,LEDA 1398342,AGN,AGN,221.7536451,11.75996732,3.51E-10,Known Source,,
347,Source,M 82,AGN,AGN,148.968458,69.679703,3.04E-10,Known Source,,
348,Source,PBC J1850.7-1658,AGN,AGN,282.7059573,-16.93039998,3.23E-12,Known Source,,
349,Source,PKS 0312-770,AGN,AGN,47.98020708,-76.86412454,2.49E-12,Known Source,,
350,Source,1ES 0033+595,AGN,BL Lac,8.968975,59.834497,2.84E-10,Known Source,,
351,Source,1ES 2344+51.4,AGN,BL Lac,356.770155,51.70496598,2.55E-11,Known Source,,
352,Source,2E 0205.7+3509,AGN,BL Lac,32.1590142,35.38689083,1.16E-12,Known Source,,
353,Source,2EG J0744+5438,AGN,BL Lac,115.6657946,54.74018531,1.91E-11,Known Source,,
354,Source,2EG J1133+0037,AGN,BL Lac,173.190077,0.574397459,1.77E-11,Known Source,,
355,Source,2EG J2039+1131,AGN,BL Lac,308.8430554,10.93521894,2.96E-12,Known Source,,
356,Source,2EGS J1504-1537,AGN,BL Lac,225.919448,-15.68726122,1.35E-11,Known Source,,
357,Source,2EGS J1703-6302,AGN,BL Lac,255.9022551,-62.21111349,1.57E-12,Known Source,,
358,Source,3C 371,AGN,BL Lac,271.7111679,69.82447489,3.68E-12,Known Source,,
359,Source,3EG J0512-6150,AGN,BL Lac,79.18719238,-62.11816372,1.07E-12,Known Source,,
360,Source,3EG J1300-4406,AGN,BL Lac,196.0875242,-43.88616659,3.96E-12,Known Source,,
361,Source,3EG J1500-3509,AGN,BL Lac,224.3612988,-35.65276989,1.3E-12,Known Source,,
362,Source,4C 06.41,AGN,BL Lac,160.3215104,6.171367704,2.54E-12,Known Source,,
363,Source,4C 73.18,AGN,BL Lac,291.9520613,73.96710349,9.97E-12,Known Source,,
364,Source,4U 0506-03,AGN,BL Lac,77.40907959,-4.012689671,3.7E-11,Known Source,,
365,Source,6C 021252+733537,AGN,BL Lac,34.37838897,73.82572826,8.94E-12,Known Source,,
366,Source,7C 1415+2556,AGN,BL Lac,214.4861276,25.72395677,2.85E-11,Known Source,,
367,Source,B2 1308+32,AGN,BL Lac,197.6194327,32.34549523,3.13E-12,Known Source,,
368,Source,BL Lac,AGN,BL Lac,330.6803806,42.27777206,1.58E-11,Known Source,,
369,Source,GeV J0319+2407,AGN,BL Lac,50.49987626,23.60311298,5.02E-12,Known Source,,
370,Source,GeV J0508+0540,AGN,BL Lac,77.35818516,5.693148283,2.63E-12,Known Source,,
371,Source,H 0414+009,AGN,BL Lac,64.21872737,1.089971973,2.17E-11,Known Source,,
372,Source,H 1517+656,AGN,BL Lac,229.4482844,65.42313489,1.82E-11,Known Source,,
373,Source,ICRF J021417.9+514451,AGN,BL Lac,33.57473273,51.74776272,1.54E-11,Known Source,,
374,Source,IGR J08321-1808,AGN,BL Lac,127.9932004,-18.14311565,7.52E-12,Known Source,,
375,Source,IGR J20569+4940,AGN,BL Lac,314.1780845,49.66850113,2.38E-11,Known Source,,
376,Source,PKS 0723-008,AGN,BL Lac,111.4609996,-0.915706403,8.22E-12,Known Source,,
377,Source,PKS 1241-399,AGN,BL Lac,191.1216587,-40.21304322,3.51E-12,Known Source,,
378,Source,PKS 1355-416,AGN,BL Lac,209.75077,-41.88128867,8.69E-11,Known Source,,
379,Source,PKS 1749+096,AGN,BL Lac,267.8867441,9.650202335,8.28E-12,Known Source,,
380,Source,PKS 1937-101,AGN,BL Lac,294.9885695,-10.04486731,1.85E-12,Known Source,,
381,Source,PKS 2251+113,AGN,BL Lac,343.5434226,11.61076336,3.06E-12,Known Source,,
382,Source,QSO B0323+022,AGN,BL Lac,51.55811743,2.420743316,7.59E-10,Known Source,,
383,Source,QSO B0548-322,AGN,BL Lac,87.66904381,-32.27124576,7.54E-11,Known Source,,
384,Source,QSO B0716+714,AGN,BL Lac,110.4727012,71.3434344,1.83E-11,Known Source,,
385,Source,QSO B0735+178,AGN,BL Lac,114.5308073,17.70527726,1.19E-12,Known Source,,
386,Source,QSO B0851+202,AGN,BL Lac,133.7036458,20.108511,8.22E-12,Known Source,,
387,Source,QSO B0954+658,AGN,BL Lac,149.6968549,65.5652276,8.48E-12,Known Source,,
388,Source,QSO B1219+285,AGN,BL Lac,185.3820435,28.23291675,3.82E-12,Known Source,,
389,Source,QSO B1424+240,AGN,BL Lac,216.7516325,23.80001042,1.46E-11,Known Source,,
390,Source,QSO B1604+159,AGN,BL Lac,241.7767936,15.85957933,1.44E-12,Known Source,,
391,Source,QSO B1722+119,AGN,BL Lac,261.2680872,11.87096444,1.46E-11,Known Source,,
392,Source,QSO B1921-293,AGN,BL Lac,291.2127331,-29.24170028,1.19E-11,Known Source,,
393,Source,QSO B2022-077,AGN,BL Lac,306.4194177,-7.597968902,2.27E-12,Known Source,,
394,Source,RX J0137.7+5814,AGN,BL Lac,24.46031744,58.23647826,8.95E-12,Known Source,,
395,Source,RX J0202.3+0849,AGN,BL Lac,30.61009478,8.820469856,1.19E-12,Known Source,,
396,Source,RX J1031.3+5053,AGN,BL Lac,157.8271879,50.89328258,3.11E-11,Known Source,,
397,Source,[VV2006] J074625.9+254901,AGN,Blazar,116.6078091,25.81725964,5.62E-12,Known Source,,
398,Source,2EG J0220+4228,AGN,Blazar,35.66504782,43.03549987,4.74E-12,Known Source,,
399,Source,2EGS J1800-4005,AGN,Blazar,270.6778336,-39.66886338,1.52E-12,Known Source,,
400,Source,3C 279,AGN,Blazar,194.0465274,-5.789312542,1.86E-11,Known Source,,
401,Source,3C 454.3,AGN,Blazar,343.4906168,16.14821153,5.88E-11,Known Source,,
402,Source,3PBC J1152.9+3307,AGN,Blazar,178.2162924,33.12187901,3.17E-12,Known Source,,
403,Source,4C 21.55,AGN,Blazar,308.3834635,21.77289057,2.1E-11,Known Source,,
404,Source,4C 50.11,AGN,Blazar,59.87394697,50.96393385,6.73E-12,Known Source,,
405,Source,CTA 102,AGN,Blazar,338.1517038,11.73080668,1.65E-11,Known Source,,
406,Source,ICRF J150838.9-495302,AGN,Blazar,227.1622684,-49.88397663,3.8E-12,Known Source,,
407,Source,IGR J02341+0228,AGN,Blazar,38.45501798,2.490321174,6.01E-12,Known Source,,
408,Source,IGR J12224+0306,AGN,Blazar,185.5365717,3.121790344,4.4E-12,Known Source,,
409,Source,IGR J12546+1139,AGN,Blazar,193.6593984,11.68497085,1.13E-12,Known Source,,
410,Source,IGR J18129-0649,AGN,Blazar,273.2122783,-6.807024111,1.79E-12,Known Source,,
411,Source,IGR J19443+2117,AGN,Blazar,295.98435,21.306494,2.58E-11,Known Source,,
412,Source,IGR J21178+5139,AGN,Blazar,319.447571,51.647889,1.66E-11,Known Source,,
413,Source,IGR J22517+2217,AGN,Blazar,342.9728949,22.29368268,4.61E-12,Known Source,,
414,Source,LEDA 2703015,AGN,Blazar,174.125362,67.61787389,3.38E-11,Known Source,,
415,Source,NRAO 140,AGN,Blazar,54.12544834,32.30815062,1.6E-11,Known Source,,
416,Source,NRAO 190,AGN,Blazar,70.66108635,-0.295394711,2.68E-12,Known Source,,
417,Source,NRAO 676,AGN,Blazar,330.4314052,50.81566364,6.74E-12,Known Source,,
418,Source,PG 1718+481,AGN,Blazar,259.9093735,48.07006879,1.35E-12,Known Source,,
419,Source,PKS 0235+164,AGN,Blazar,39.66220877,16.61646515,4.51E-12,Known Source,,
420,Source,PKS 0528+134,AGN,Blazar,82.73506978,13.53198596,3.37E-12,Known Source,,
421,Source,PKS 0637-752,AGN,Blazar,98.94378304,-75.27133789,8.08E-12,Known Source,,
422,Source,PKS 1622-297,AGN,Blazar,246.5250868,-29.85749203,3.53E-12,Known Source,,
423,Source,PKS 1830-211,AGN,Blazar,278.4164163,-21.06093579,1.62E-11,Known Source,,
424,Source,PKS 2126-158,AGN,Blazar,322.3007329,-15.64473386,1.08E-11,Known Source,,
425,Source,PKS 2149-306,AGN,Blazar,327.9813499,-30.46491614,2.19E-11,Known Source,,
426,Source,PKS 2325+093,AGN,Blazar,351.889919,9.6692952,4.26E-12,Known Source,,
427,Source,PMN J0641-0320,AGN,Blazar,100.4630539,-3.346828384,7.73E-12,Known Source,,
428,Source,QSO B0208-512,AGN,Blazar,32.69250184,-51.0171925,3.35E-12,Known Source,,
429,Source,QSO B0537-441,AGN,Blazar,84.70983983,-44.0858164,8.46E-12,Known Source,,
430,Source,QSO B0836+710,AGN,Blazar,130.351522,70.89504807,3.34E-11,Known Source,,
431,Source,QSO B0917+449,AGN,Blazar,140.243577,44.69832919,3.81E-12,Known Source,,
432,Source,QSO B1127-145,AGN,Blazar,172.5293848,-14.82427445,7.85E-12,Known Source,,
433,Source,QSO B1331+170,AGN,Blazar,203.3990948,16.81778153,1.14E-12,Known Source,,
434,Source,QSO B1510-089,AGN,Blazar,228.2105539,-9.09995272,1.31E-11,Known Source,,
435,Source,QSO B1739+522,AGN,Blazar,265.1540744,52.19539094,2.47E-12,Known Source,,
436,Source,QSO B2052-474,AGN,Blazar,314.0681659,-47.24656325,4.17E-12,Known Source,,
437,Source,QSO J0539-2839,AGN,Blazar,84.97617283,-28.66554115,4.11E-12,Known Source,,
438,Source,QSO J0623-6436,AGN,Blazar,95.7820685,-64.60575625,7.62E-12,Known Source,,
439,Source,SWIFT J165616.5-3302,AGN,Blazar,254.07016,-33.03621,7.23E-12,Known Source,,
440,Source,IC 1459,AGN,LINER,344.2941951,-36.46222129,0.00000636,Known Source,,
441,Source,NGC 315,AGN,LINER,14.4536806,30.35244776,1.27E-12,Known Source,,
442,Source,NGC 4261,AGN,LINER,184.8467336,5.824916673,1.3E-12,Known Source,,
443,Source,NGC 4278,AGN,LINER,185.0284342,29.2807561,0.00000076,Known Source,,
444,Source,NGC 5005,AGN,LINER,197.734633,37.058942,0.00000116,Known Source,,
445,Source,2E 1248.7+5706,AGN,Quasar,192.747252,56.833161,0.000000195,Known Source,,
446,Source,2EG J0852-1237,AGN,Quasar,132.5401485,-12.22649337,1.33E-12,Known Source,,
447,Source,2EG J1239+0441,AGN,Quasar,189.886482,4.718120284,1.45E-12,Known Source,,
448,Source,2EGS J2322-0321,AGN,Quasar,350.8831406,-3.284728848,2.15E-12,Known Source,,
449,Source,3C 254,AGN,Quasar,168.6613549,40.62231369,0.00000357,Known Source,,
450,Source,3EG J0340-0201,AGN,Quasar,54.87890744,-1.776612275,2.29E-12,Known Source,,
451,Source,3EG J0458-4635,AGN,Quasar,73.96155203,-46.26629994,3.15E-12,Known Source,,
452,Source,3EG J1744-0310,AGN,Quasar,265.9952339,-3.834615759,2.66E-12,Known Source,,
453,Source,3EG J1921-2015,AGN,Quasar,290.8841242,-21.07592587,2.12E-12,Known Source,,
454,Source,3EG J1937-1529,AGN,Quasar,294.861074,-15.42862735,1.68E-11,Known Source,,
455,Source,Cen B,AGN,Quasar,206.7043437,-60.40815428,7.92E-12,Known Source,,
456,Source,CTS C25.36,AGN,Quasar,45.48248897,-43.51425798,6.13E-11,Known Source,,
457,Source,GB6 B1428+4218,AGN,Quasar,217.5989235,42.07680307,2.53E-12,Known Source,,
458,Source,HE 1104-1805,AGN,Quasar,166.6391022,-18.35661918,3.94E-10,Known Source,,
459,Source,IGR J03184-0014,AGN,Quasar,49.57308,-0.29728,3.93E-12,Known Source,,
460,Source,IGR J11015+7224,AGN,Quasar,165.4533571,72.4269775,2.99E-12,Known Source,,
461,Source,PDS 456,AGN,Quasar,262.0824556,-14.26551526,6.54E-12,Known Source,,
462,Source,PG 1148+549,AGN,Quasar,177.8352497,54.62584721,4.04E-11,Known Source,,
463,Source,PG 1247+267,AGN,Quasar,192.5238112,26.51877732,3.56E-12,Known Source,,
464,Source,PG 1407+265,AGN,Quasar,212.3496191,26.30584902,1.31E-12,Known Source,,
465,Source,PG 1634+706,AGN,Quasar,248.6207988,70.52566484,1.93E-12,Known Source,,
466,Source,PHL 1377,AGN,Quasar,38.78059102,-4.034810305,3.6E-12,Known Source,,
467,Source,PKS 0237-233,AGN,Quasar,40.03405991,-23.15436917,1.62E-11,Known Source,,
468,Source,PKS 0332-403,AGN,Quasar,53.5568937,-40.14038833,8.09E-12,Known Source,,
469,Source,PKS 0405-385,AGN,Quasar,61.74598057,-38.44112288,1.16E-12,Known Source,,
470,Source,PKS 0438-436,AGN,Quasar,70.07158323,-43.55239009,3.33E-12,Known Source,,
471,Source,PKS 0440-285,AGN,Quasar,70.65690495,-28.42523186,2.08E-12,Known Source,,
472,Source,PKS 0454-234,AGN,Quasar,74.26324643,-23.41445031,1.67E-12,Known Source,,
473,Source,PKS 0736+01,AGN,Quasar,114.8251412,1.617949375,6.88E-12,Known Source,,
474,Source,PKS 1614+051,AGN,Quasar,244.1564867,4.992426825,1.99E-12,Known Source,,
475,Source,PKS 2209+236,AGN,Quasar,333.0248596,23.92792884,,Known Source,,
476,Source,QSO B0130-171,AGN,Quasar,23.18119776,-16.91347836,2.08E-12,Known Source,,
477,Source,QSO B0420-014,AGN,Quasar,65.81583634,-1.342518224,4.26E-12,Known Source,,
478,Source,QSO B0458-020,AGN,Quasar,75.30337452,-1.98729346,2.51E-12,Known Source,,
479,Source,QSO B0804+499,AGN,Quasar,122.1652762,49.84348067,1.84E-12,Known Source,,
480,Source,QSO B1101-264,AGN,Quasar,165.8554139,-26.75439127,0.000000162,Known Source,,
481,Source,QSO B1229-021,AGN,Quasar,188.0000665,-2.401331408,1.71E-12,Known Source,,
482,Source,QSO B1313-333,AGN,Quasar,199.0332748,-33.64977019,3.14E-12,Known Source,,
483,Source,QSO B1317+520,AGN,Quasar,199.9424921,51.80160505,1.4E-12,Known Source,,
484,Source,QSO B1406-076,AGN,Quasar,212.2353384,-7.874074036,,Known Source,,
485,Source,QSO B1424-418,AGN,Quasar,216.9845732,-42.10539934,4.2E-12,Known Source,,
486,Source,QSO B1606+106,AGN,Quasar,242.1925133,10.48549326,2.25E-12,Known Source,,
487,Source,QSO B1611+343,AGN,Quasar,243.421101,34.21330801,1.56E-12,Known Source,,
488,Source,QSO B1622-253,AGN,Quasar,246.4453818,-25.46064635,1.84E-12,Known Source,,
489,Source,QSO B1633+382,AGN,Quasar,248.8145541,38.1345835,6.2E-12,Known Source,,
490,Source,QSO B1730-130,AGN,Quasar,263.2612741,-13.08043006,2.86E-12,Known Source,,
491,Source,QSO B1908-202,AGN,Quasar,287.7902204,-20.11530807,2.66E-12,Known Source,,
492,Source,QSO B1933-400,AGN,Quasar,294.3175723,-39.96709809,4.37E-12,Known Source,,
493,Source,QSO J1044+8054,AGN,Quasar,161.096094,80.9109564,4.35E-12,Known Source,,
494,Source,S5 0014+813,AGN,Quasar,4.285312071,81.58559347,5.54E-12,Known Source,,
495,Source,[VV96] J091609.5-621929,AGN,Seyfert 1 Galaxy,139.0390259,-62.32487837,2.4E-11,Known Source,,
496,Source,1H 0419-577,AGN,Seyfert 1 Galaxy,66.50299507,-57.20049164,3.69E-11,Known Source,,
497,Source,1H 0707-495,AGN,Seyfert 1 Galaxy,107.1728694,-49.55175248,4.53E-12,Known Source,,
498,Source,1H 2251-179,AGN,Seyfert 1 Galaxy,343.5245244,-17.58205618,8.33E-11,Known Source,,
499,Source,2E 1849.2-7832,AGN,Seyfert 1 Galaxy,284.2823134,-78.4725595,1.21E-11,Known Source,,
500,Source,2E 1923.7+5037,AGN,Seyfert 1 Galaxy,291.259097,50.72049873,1.33E-11,Known Source,,
501,Source,2EG J1054+5736,AGN,Seyfert 1 Galaxy,164.6571986,56.46977983,7.81E-12,Known Source,,
502,Source,2MASS J03120297+5029146,AGN,Seyfert 1 Galaxy,48.01239759,50.48737824,1.02E-11,Known Source,,
503,Source,2MASS J06340353-7446377,AGN,Seyfert 1 Galaxy,98.51483087,-74.7771239,3.5E-12,Known Source,,
504,Source,2MASS J08452137-3530242,AGN,Seyfert 1 Galaxy,131.3390549,-35.50672431,7.51E-12,Known Source,,
505,Source,2MASS J11053761+5851208,AGN,Seyfert 1 Galaxy,166.4067817,58.85577594,3.74E-12,Known Source,,
506,Source,2MASS J17525246-0532064,AGN,Seyfert 1 Galaxy,268.2186263,-5.535146924,5.71E-12,Known Source,,
507,Source,2MASS J19334715+3254259,AGN,Seyfert 1 Galaxy,293.4464935,32.90720487,2.62E-11,Known Source,,
508,Source,2MASS J21394497+5950150,AGN,Seyfert 1 Galaxy,324.9373469,59.8375071,9.81E-12,Known Source,,
509,Source,2MASX J21561518+1722525,AGN,Seyfert 1 Galaxy,329.0634621,17.38127596,3.08E-12,Known Source,,
510,Source,2QZ J120045.2-011041,AGN,Seyfert 1 Galaxy,180.1887973,-1.178109264,1.69E-11,Known Source,,
511,Source,3C 109,AGN,Seyfert 1 Galaxy,63.41808751,11.20410722,5.68E-09,Known Source,,
512,Source,3C 111,AGN,Seyfert 1 Galaxy,64.58865518,38.02661149,7.15E-11,Known Source,,
513,Source,3C 206,AGN,Seyfert 1 Galaxy,129.9607623,-12.24286866,1.73E-11,Known Source,,
514,Source,3C 219,AGN,Seyfert 1 Galaxy,140.2859409,45.64926617,3.62E-12,Known Source,,
515,Source,3C 249.1,AGN,Seyfert 1 Galaxy,166.0577548,76.98283182,8.56E-12,Known Source,,
516,Source,3C 287.1,AGN,Seyfert 1 Galaxy,203.2219606,2.012694214,6.81E-12,Known Source,,
517,Source,3C 303,AGN,Seyfert 1 Galaxy,220.7615029,52.02702737,4.73E-12,Known Source,,
518,Source,3C 380,AGN,Seyfert 1 Galaxy,277.3824207,48.7461556,7.05E-12,Known Source,,
519,Source,3C 382,AGN,Seyfert 1 Galaxy,278.7641234,32.69634888,8.22E-11,Known Source,,
520,Source,3C 390.3,AGN,Seyfert 1 Galaxy,280.5374604,79.7714244,8.62E-11,Known Source,,
521,Source,3C 445,AGN,Seyfert 1 Galaxy,335.9564171,-2.10357207,8.88E-12,Known Source,,
522,Source,3EG J1727+0429,AGN,Seyfert 1 Galaxy,262.1039697,4.451364953,2.32E-12,Known Source,,
523,Source,3PBC J1231.3+7044,AGN,Seyfert 1 Galaxy,187.9023294,70.73732004,9.35E-12,Known Source,,
524,Source,3PBC J1342.0+3539,AGN,Seyfert 1 Galaxy,205.5349173,35.65429653,2.49E-11,Known Source,,
525,Source,4C 04.42,AGN,Seyfert 1 Galaxy,185.5939568,4.221048909,5.29E-12,Known Source,,
526,Source,4C 74.26,AGN,Seyfert 1 Galaxy,310.6554497,75.13401274,4.56E-11,Known Source,,
527,Source,4U 0106-59,AGN,Seyfert 1 Galaxy,20.94067981,-58.80578026,6.03E-11,Known Source,,
528,Source,4U 1628+28,AGN,Seyfert 1 Galaxy,247.851792,29.88376812,1.1E-12,Known Source,,
529,Source,AKARI-IRC-V1 J1930138+341048,AGN,Seyfert 1 Galaxy,292.5575,34.1803,2.9E-12,Known Source,,
530,Source,Ark 120,AGN,Seyfert 1 Galaxy,79.04753853,-0.14976588,5.77E-11,Known Source,,
531,Source,CTS 109,AGN,Seyfert 1 Galaxy,323.0091769,-33.71494004,2.12E-11,Known Source,,
532,Source,ESO 140-43,AGN,Seyfert 1 Galaxy,281.2249554,-62.36468728,2.36E-11,Known Source,,
533,Source,ESO 198-24,AGN,Seyfert 1 Galaxy,39.5821519,-52.19231775,4.56E-11,Known Source,,
534,Source,ESO 209-12,AGN,Seyfert 1 Galaxy,120.4915522,-49.77844311,9.98E-12,Known Source,,
535,Source,ESO 25-G002,AGN,Seyfert 1 Galaxy,283.6677671,-78.89836281,2.26E-12,Known Source,,
536,Source,ESO 265-23,AGN,Seyfert 1 Galaxy,170.2000369,-43.26399218,1.74E-11,Known Source,,
537,Source,ESO 31-8,AGN,Seyfert 1 Galaxy,46.89726634,-72.83405466,1.18E-11,Known Source,,
538,Source,ESO 328-36,AGN,Seyfert 1 Galaxy,228.6958,-40.3586,1.4E-12,Known Source,,
539,Source,ESO 399-20,AGN,Seyfert 1 Galaxy,301.7413598,-34.54851575,2.32E-12,Known Source,,
540,Source,ESO 490-26,AGN,Seyfert 1 Galaxy,100.0487164,-25.89529436,2.88E-11,Known Source,,
541,Source,EXO 055620-3820.2,AGN,Seyfert 1 Galaxy,89.50856946,-38.33457005,3.56E-12,Known Source,,
542,Source,EXO 1128.1+6908,AGN,Seyfert 1 Galaxy,172.7698511,68.86472119,1.28E-11,Known Source,,
543,Source,Fairall 303,AGN,Seyfert 1 Galaxy,67.66680405,-53.61545573,7.54E-12,Known Source,,
544,Source,H 1029-140,AGN,Seyfert 1 Galaxy,157.9763224,-14.28093836,4.34E-11,Known Source,,
545,Source,H 1846-786,AGN,Seyfert 1 Galaxy,281.7612186,-78.53044703,1.98E-11,Known Source,,
546,Source,HE 1434-1600,AGN,Seyfert 1 Galaxy,219.2067519,-16.22811012,1.28E-11,Known Source,,
547,Source,IC 4329A,AGN,Seyfert 1 Galaxy,207.3302508,-30.30950384,1.73E-10,Known Source,,
548,Source,IGR J00158+5605,AGN,Seyfert 1 Galaxy,3.975760577,56.04931447,1.6E-12,Known Source,,
549,Source,IGR J02045-1156,AGN,Seyfert 1 Galaxy,31.15316586,-11.99540959,1.13E-12,Known Source,,
550,Source,IGR J02086-1742,AGN,Seyfert 1 Galaxy,32.14559706,-17.65963404,9.14E-12,Known Source,,
551,Source,IGR J03334+3718,AGN,Seyfert 1 Galaxy,53.32829037,37.30310128,1.19E-11,Known Source,,
